ch_name,x,y,z
S9,-0.0648,-0.0555,0.0443
D8,-0.0729,-0.0277,0.0429
S10,-0.0775,-0.0027,0.0415
D9,-0.0742999999999999,0.0263,0.0387
S11,-0.0643,0.05,0.0381
D10,-0.0660999999999999,-0.0526,0.0689
S12,-0.0746,-0.0272,0.0676
D11,-0.0757999999999999,0.0028,0.0670999999999999
S13,-0.0741,0.0292,0.062
D12,-0.0629,0.0512,0.0619
S14,-0.0579,-0.0487999999999999,0.0912
D13,-0.0687,-0.024,0.0916
S15,-0.0712,0.0029,0.0884
D14,-0.0653,0.0289,0.0858
S16,-0.0554,0.0533,0.0833
