ch_name,x,y,z
S1,0.0556,0.0526,0.0578
D1,0.0650999999999999,0.0282,0.0533999999999999
S2,0.0702,-0.0014,0.0515
D2,0.0695,-0.031,0.0477
S3,0.0637,-0.0588,0.0455
D3,0.0486,0.05,0.0768
S4,0.0606,0.0246,0.077
D4,0.0665999999999999,-0.0049,0.0737
S5,0.066,-0.0299,0.0722
D5,0.059,-0.0579,0.0698
S6,0.0411,0.0435,0.0986
D6,0.0531,0.0193,0.0996
S7,0.0585,-0.0089,0.0996
D7,0.0535,-0.033,0.0984
S8,0.0439,-0.0598,0.0928
