ch_name,x,y,z
S9,-0.0663,-0.0714,0.052
D8,-0.0754,-0.0434,0.0561
S10,-0.0792,-0.0158,0.0588
D9,-0.0772,0.0119,0.0567999999999999
S11,-0.0675,0.0402,0.0552999999999999
D10,-0.0658,-0.0712,0.079
S12,-0.0757,-0.0429,0.0820999999999999
D11,-0.08,-0.0148,0.0829
S13,-0.0768,0.0113,0.0839
D12,-0.067,0.0343,0.0803
S14,-0.053,-0.0655999999999999,0.103
D13,-0.0660999999999999,-0.0437,0.1047
S15,-0.0739,-0.0155,0.1054
D14,-0.0704,0.0091,0.1056
S16,-0.059,0.0338,0.1016
