ch_name,x,y,z
S1,0.05,0.0552,0.0561
D1,0.0675,0.0314,0.0575
S2,0.0724,0.0035,0.0567
D2,0.0721,-0.0257,0.0562
S3,0.0660999999999999,-0.0538,0.0523
D3,0.0481,0.0495,0.0792
S4,0.0621,0.0273,0.0820999999999999
D4,0.0695,-0.0005,0.0825
S5,0.0693,-0.0255,0.0799
D5,0.0634,-0.0522,0.0784
S6,0.0382999999999999,0.0457,0.0991
D6,0.0525,0.024,0.1047
S7,0.0612,-0.0018,0.1045
D7,0.0603999999999999,-0.0283999999999999,0.103
S8,0.0502,-0.0559,0.0970999999999999
