ch_name,x,y,z
S1,0.0562999999999999,0.0567,0.0622
D1,0.0681,0.0336,0.0597
S2,0.0746,0.0054,0.0549
D2,0.0714,-0.0248,0.0493
S3,0.0648,-0.0517,0.0417
D3,0.0538999999999999,0.0525,0.089
S4,0.0668,0.0282,0.0836
D4,0.0719,0.0039,0.079
S5,0.0703,-0.0259,0.074
D5,0.0628,-0.0542,0.0684
S6,0.0491,0.0494,0.1007
D6,0.061,0.024,0.1009
S7,0.0647,-0.0029,0.0977
D7,0.0607,-0.0281,0.0937
S8,0.0518,-0.0561,0.0865
