ch_name,x,y,z
S9,-0.0664,-0.0581,0.044
D8,-0.0739,-0.029,0.0479
S10,-0.0744,-0.0018,0.055
D9,-0.0669,0.0277,0.0556
S11,-0.0537,0.0523,0.0575
D10,-0.0650999999999999,-0.0601,0.0696
S12,-0.0731,-0.0321,0.073
D11,-0.0734,-0.0040999999999999,0.0782
S13,-0.0678,0.0236,0.0798
D12,-0.0538999999999999,0.0466,0.0827
S14,-0.0531,-0.0617,0.0912
D13,-0.0622,-0.0348,0.0972
S15,-0.0658,-0.0077,0.1005
D14,-0.0603999999999999,0.0191,0.1035
S16,-0.047,0.0436,0.1017
